d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
1,0,0,60,10,1190,0.9789,0.0423,0.9889,0.0333
1,0,0,60,14,1666,0.9689,0.0476,0.9789,0.0423
0,1,1,60,14,3318,0.9800,0.0400,0.9900,0.0300
1,0,0,60,18,2142,0.9789,0.0423,0.9889,0.0333
1,1,1,45,18,4770,0.9689,0.0476,0.9789,0.0423
1,0,1,60,4,948,0.9689,0.0476,0.9800,0.0400
1,0,1,60,8,1896,0.9689,0.0476,0.9689,0.0476
1,0,0,60,20,2380,0.9789,0.0423,0.9889,0.0333
1,0,0,60,24,2856,0.9789,0.0423,0.9889,0.0333
1,0,1,60,10,2370,0.9689,0.0476,0.9689,0.0476
0,1,1,60,18,4266,0.9689,0.0476,0.9900,0.0300
1,1,1,45,20,5300,0.9689,0.0476,0.9789,0.0423
1,1,0,60,4,948,0.9689,0.0476,0.9889,0.0333
1,0,1,60,14,3318,0.9689,0.0476,0.9889,0.0333
1,1,0,60,8,1896,0.9889,0.0333,1.0000,0.0000
0,1,1,60,20,4740,0.9689,0.0476,0.9800,0.0400
1,1,0,60,10,2370,0.9789,0.0423,0.9889,0.0333
1,1,0,60,14,3318,0.9789,0.0423,0.9889,0.0333
1,0,1,60,18,4266,0.9689,0.0476,0.9789,0.0423
1,1,1,60,4,1420,0.9689,0.0476,0.9689,0.0476
1,0,1,60,20,4740,0.9689,0.0476,0.9689,0.0476
1,1,1,45,24,6360,0.9689,0.0476,0.9789,0.0423
0,1,1,60,24,5688,0.9689,0.0476,0.9789,0.0423
1,1,1,60,8,2840,0.9689,0.0476,0.9900,0.0300
1,1,0,60,18,4266,0.9789,0.0423,0.9889,0.0333
1,1,0,60,20,4740,0.9789,0.0423,0.9889,0.0333
1,1,1,60,10,3550,0.9689,0.0476,0.9789,0.0423
0,0,1,70,4,556,0.9700,0.0640,0.9800,0.0400
0,0,1,70,8,1112,0.9800,0.0400,0.9800,0.0400
0,0,1,70,10,1390,0.9800,0.0400,0.9800,0.0400
0,0,1,70,14,1946,0.9800,0.0400,0.9800,0.0400
0,0,1,70,18,2502,0.9800,0.0400,0.9900,0.0300
0,0,1,70,20,2780,0.9600,0.0663,0.9700,0.0640
0,1,0,70,4,556,0.9589,0.0504,0.9789,0.0423
1,0,1,60,24,5688,0.9689,0.0476,0.9789,0.0423
0,1,0,70,8,1112,0.9589,0.0504,0.9800,0.0400
0,1,0,70,10,1390,0.9589,0.0674,0.9789,0.0423
0,1,0,70,14,1946,0.9689,0.0476,0.9689,0.0476
0,1,0,70,18,2502,0.9689,0.0476,0.9689,0.0476
0,0,1,70,24,3336,0.9500,0.0671,0.9589,0.0674
0,1,1,70,4,1108,0.9800,0.0400,0.9800,0.0400
0,1,0,70,20,2780,0.9789,0.0423,0.9689,0.0476
0,1,1,70,8,2216,0.9800,0.0400,0.9800,0.0400
1,1,1,60,14,4970,0.9689,0.0476,0.9689,0.0476
1,1,0,60,24,5688,0.9789,0.0423,0.9889,0.0333
0,1,1,70,10,2770,0.9689,0.0476,0.9900,0.0300
0,1,0,70,24,3336,0.9789,0.0423,0.9789,0.0423
1,0,0,70,4,556,0.9589,0.0504,0.9800,0.0400
1,0,0,70,8,1112,0.9789,0.0423,0.9900,0.0300
1,0,0,70,10,1390,0.9889,0.0333,0.9889,0.0333
1,0,0,70,14,1946,0.9789,0.0423,0.9789,0.0423
1,0,0,70,18,2502,0.9789,0.0423,0.9889,0.0333
0,1,1,70,14,3878,0.9800,0.0400,0.9800,0.0400
1,0,0,70,20,2780,0.9789,0.0423,0.9889,0.0333
1,0,1,70,4,1108,0.9800,0.0400,0.9700,0.0458
1,0,1,70,8,2216,0.9689,0.0476,0.9689,0.0476
1,1,1,60,18,6390,0.9689,0.0476,0.9589,0.0504
1,0,0,70,24,3336,0.9889,0.0333,0.9889,0.0333
0,1,1,70,18,4986,0.9800,0.0400,0.9800,0.0400
1,0,1,70,10,2770,0.9689,0.0476,0.9689,0.0476
0,1,1,70,20,5540,0.9800,0.0400,0.9900,0.0300
1,0,1,70,14,3878,0.9689,0.0476,0.9889,0.0333
1,1,0,70,4,1108,0.9689,0.0476,0.9889,0.0333
