d,f,c,thre_inc,n_modes,svm_acc,svm_std,lda_acc,lda_std
1,0,0,20,16,0.8767,0.0583,0.8367,0.0576
1,0,0,25,16,0.8867,0.0386,0.8400,0.0629
1,0,0,30,16,0.8767,0.0573,0.8417,0.0574
1,0,0,35,16,0.8800,0.0531,0.8417,0.0593
1,0,0,40,16,0.8917,0.0473,0.8367,0.0531
1,0,0,45,16,0.8750,0.0473,0.8433,0.0602
1,0,0,50,16,0.8950,0.0500,0.8483,0.0524
1,0,0,10,18,0.8717,0.0448,0.8250,0.0574
1,0,0,20,18,0.8717,0.0402,0.8467,0.0562
1,0,0,25,18,0.8933,0.0335,0.8450,0.0558
1,0,0,30,18,0.8767,0.0448,0.8517,0.0570
1,0,0,35,18,0.8767,0.0351,0.8567,0.0517
1,0,0,40,18,0.8867,0.0552,0.8367,0.0542
1,0,0,45,18,0.8817,0.0391,0.8483,0.0575
1,0,0,50,18,0.8800,0.0452,0.8600,0.0559
1,0,0,10,20,0.8783,0.0543,0.8333,0.0624
1,0,0,20,20,0.8750,0.0569,0.8367,0.0645
1,0,0,25,20,0.8917,0.0250,0.8483,0.0462
1,0,0,30,20,0.8850,0.0418,0.8500,0.0573
1,0,0,35,20,0.8867,0.0499,0.8450,0.0592
1,0,0,40,20,0.8650,0.0398,0.8417,0.0467
1,0,0,45,20,0.8783,0.0358,0.8367,0.0662
1,0,0,50,20,0.8667,0.0465,0.8600,0.0528
1,0,1,10,4,0.8650,0.0468,0.8167,0.0415
1,0,1,20,4,0.8633,0.0400,0.8300,0.0433
1,0,1,25,4,0.8583,0.0467,0.8417,0.0512
1,0,1,30,4,0.8667,0.0471,0.8433,0.0517
1,0,1,35,4,0.8700,0.0332,0.8467,0.0452
1,0,1,40,4,0.8667,0.0408,0.8400,0.0416
1,0,1,45,4,0.8683,0.0361,0.8350,0.0502
1,0,1,50,4,0.8750,0.0396,0.8450,0.0422
1,0,1,10,6,0.8650,0.0337,0.8250,0.0359
1,0,1,20,6,0.8767,0.0396,0.8233,0.0343
1,0,1,25,6,0.8750,0.0318,0.8333,0.0401
1,0,1,30,6,0.8833,0.0516,0.8383,0.0366
1,0,1,35,6,0.8750,0.0271,0.8317,0.0404
1,0,1,40,6,0.8617,0.0472,0.8383,0.0388
1,0,1,45,6,0.8817,0.0311,0.8383,0.0409
1,0,1,50,6,0.8750,0.0335,0.8400,0.0403
1,0,1,10,8,0.8633,0.0393,0.8317,0.0369
1,0,1,20,8,0.8850,0.0391,0.8317,0.0391
1,0,1,25,8,0.8750,0.0455,0.8350,0.0474
1,0,1,30,8,0.8883,0.0388,0.8450,0.0448
1,0,1,35,8,0.8817,0.0376,0.8533,0.0458
1,0,1,40,8,0.8733,0.0442,0.8550,0.0279
1,0,1,45,8,0.8750,0.0261,0.8467,0.0332
1,0,1,50,8,0.8950,0.0269,0.8517,0.0369
1,0,1,10,10,0.8717,0.0388,0.8283,0.0299
1,0,1,20,10,0.8633,0.0348,0.8433,0.0374
1,0,1,25,10,0.8750,0.0423,0.8400,0.0442
1,0,1,30,10,0.8800,0.0364,0.8483,0.0450
1,0,1,35,10,0.8550,0.0409,0.8567,0.0403
1,0,1,40,10,0.8683,0.0263,0.8533,0.0414
1,0,1,45,10,0.8700,0.0340,0.8533,0.0414
1,0,1,50,10,0.8733,0.0467,0.8567,0.0374
1,0,1,10,12,0.8783,0.0428,0.8417,0.0449
1,0,1,20,12,0.8800,0.0356,0.8417,0.0449
1,0,1,25,12,0.8717,0.0373,0.8433,0.0490
1,0,1,30,12,0.8783,0.0224,0.8583,0.0479
1,0,1,35,12,0.8717,0.0506,0.8517,0.0391
1,0,1,40,12,0.8750,0.0430,0.8417,0.0467
1,0,1,45,12,0.8817,0.0398,0.8433,0.0455
1,0,1,50,12,0.8850,0.0431,0.8650,0.0418
1,0,1,10,14,0.8800,0.0348,0.8300,0.0371
1,0,1,20,14,0.8650,0.0345,0.8450,0.0402
1,0,1,25,14,0.8783,0.0460,0.8517,0.0431
1,0,1,30,14,0.8883,0.0317,0.8483,0.0468
1,0,1,35,14,0.8717,0.0366,0.8550,0.0422
1,0,1,40,14,0.8717,0.0454,0.8517,0.0383
1,0,1,45,14,0.8717,0.0289,0.8617,0.0422
1,0,1,50,14,0.8850,0.0329,0.8650,0.0462
1,0,1,10,16,0.8800,0.0371,0.8350,0.0361
1,0,1,20,16,0.8700,0.0420,0.8517,0.0425
1,0,1,25,16,0.8883,0.0511,0.8533,0.0386
1,0,1,30,16,0.8750,0.0239,0.8667,0.0394
1,0,1,35,16,0.8767,0.0442,0.8617,0.0511
1,0,1,40,16,0.8667,0.0316,0.8517,0.0456
1,0,1,45,16,0.8783,0.0334,0.8583,0.0501
1,0,1,50,16,0.8800,0.0287,0.8683,0.0398
1,0,1,10,18,0.8833,0.0350,0.8367,0.0407
1,0,1,20,18,0.8867,0.0379,0.8500,0.0380
1,0,1,25,18,0.8867,0.0458,0.8550,0.0402
1,0,1,30,18,0.8783,0.0373,0.8567,0.0436
1,0,1,35,18,0.8850,0.0474,0.8583,0.0467
1,0,1,40,18,0.8800,0.0452,0.8650,0.0241
1,0,1,45,18,0.8867,0.0306,0.8650,0.0456
1,0,1,50,18,0.8767,0.0309,0.8733,0.0374
1,0,1,10,20,0.8850,0.0311,0.8300,0.0332
1,0,1,20,20,0.8883,0.0409,0.8567,0.0403
1,0,1,25,20,0.8883,0.0422,0.8517,0.0383
1,0,1,30,20,0.8850,0.0293,0.8550,0.0388
1,0,1,35,20,0.8900,0.0429,0.8633,0.0420
1,0,1,40,20,0.8867,0.0340,0.8650,0.0383
1,0,1,45,20,0.8867,0.0296,0.8500,0.0394
1,0,1,50,20,0.8883,0.0279,0.8633,0.0400
1,1,0,10,4,0.8600,0.0663,0.8267,0.0606
1,1,0,20,4,0.8683,0.0652,0.8350,0.0565
1,1,0,25,4,0.8767,0.0442,0.8450,0.0478
1,1,0,30,4,0.8733,0.0606,0.8417,0.0569
1,1,0,35,4,0.8867,0.0536,0.8467,0.0586
1,1,0,40,4,0.8883,0.0675,0.8450,0.0527
1,1,0,45,4,0.8750,0.0423,0.8483,0.0664
1,1,0,50,4,0.8933,0.0549,0.8533,0.0618
1,1,0,10,6,0.8867,0.0440,0.8200,0.0609
1,1,0,20,6,0.8933,0.0461,0.8450,0.0454
1,1,0,25,6,0.8933,0.0327,0.8667,0.0428
1,1,0,30,6,0.8800,0.0504,0.8633,0.0379
1,1,0,35,6,0.8917,0.0490,0.8550,0.0441
1,1,0,40,6,0.8950,0.0448,0.8567,0.0467
1,1,0,45,6,0.8800,0.0400,0.8617,0.0466
1,1,0,50,6,0.8933,0.0300,0.8650,0.0468
1,1,0,10,8,0.8817,0.0519,0.8367,0.0476
1,1,0,20,8,0.8900,0.0410,0.8500,0.0365
1,1,0,25,8,0.8833,0.0447,0.8567,0.0461
1,1,0,30,8,0.8883,0.0489,0.8533,0.0414
1,1,0,35,8,0.8800,0.0576,0.8617,0.0533
1,1,0,40,8,0.8900,0.0517,0.8600,0.0429
1,1,0,45,8,0.8983,0.0391,0.8600,0.0403
1,1,0,50,8,0.9017,0.0398,0.8667,0.0435
1,1,0,10,10,0.8750,0.0507,0.8300,0.0504
1,1,0,20,10,0.8983,0.0353,0.8500,0.0558
1,1,0,25,10,0.8867,0.0393,0.8517,0.0508
1,1,0,30,10,0.8883,0.0441,0.8583,0.0501
1,1,0,35,10,0.8883,0.0489,0.8533,0.0609
1,1,0,40,10,0.8967,0.0499,0.8650,0.0425
1,1,0,45,10,0.8850,0.0519,0.8517,0.0535
1,1,0,50,10,0.8933,0.0410,0.8650,0.0580
1,1,0,10,12,0.8867,0.0482,0.8350,0.0529
1,1,0,20,12,0.8833,0.0483,0.8467,0.0586
1,1,0,25,12,0.8850,0.0486,0.8617,0.0506
1,1,0,30,12,0.8817,0.0437,0.8600,0.0512
1,1,0,35,12,0.8700,0.0515,0.8500,0.0645
1,1,0,40,12,0.8900,0.0343,0.8517,0.0594
1,1,0,45,12,0.8933,0.0501,0.8650,0.0513
1,1,0,50,12,0.8967,0.0482,0.8683,0.0491
1,1,0,10,14,0.8800,0.0427,0.8383,0.0548
1,1,0,20,14,0.8900,0.0448,0.8567,0.0512
1,1,0,25,14,0.8950,0.0334,0.8650,0.0462
1,1,0,30,14,0.8983,0.0353,0.8633,0.0632
1,1,0,35,14,0.8883,0.0472,0.8617,0.0527
1,1,0,40,14,0.8983,0.0361,0.8550,0.0563
